Date,open,close,high,low,volume,money
2018/10/16,4193.38,4099.68,4221.34,4076.87,6107665900,44015881331
2018/10/17,4147.35,4133.38,4167.76,4038.42,6952388100,47137717264
2018/10/18,4104.33,4018.46,4104.33,4013.65,5978391100,40382606949
2018/10/19,3958.45,4127.99,4130.93,3948.56,6956157800,49937027368
2018/10/22,4165.76,4333.14,4375.6,4165.76,9295831900,69510999529
2018/10/23,4336.45,4253.56,4350.73,4228.33,7466806500,54448393797
2018/10/24,4233.84,4245.49,4297.37,4207.16,6282348200,44264708175
2018/10/25,4124.19,4234.42,4240.58,4103.56,6968720600,48371839270
2018/10/26,4260.91,4233.96,4294.56,4217.79,6798362100,46824099369
2018/10/29,4220.64,4162.53,4227.64,4144.81,5745157000,41278101419
2018/10/30,4145.4,4204.54,4233.79,4096.14,7283465000,52308156538
2018/10/31,4207.76,4272.55,4298.24,4204.36,7468776500,53243305593
2018/11/1,4299.46,4298.98,4367.73,4294.87,8605914200,65004691638
2018/11/2,4366.73,4437.95,4437.98,4360.87,9689216800,75808808224
2018/11/5,4427.63,4440.83,4466.14,4375.04,8777727700,66155141568
2018/11/6,4427.36,4438.1,4440.11,4385.33,6980304900,51219256984
2018/11/7,4437.72,4415.14,4479.69,4414.07,7808636800,58896533555
2018/11/8,4442.66,4382.33,4450.98,4379.88,7214535500,51522224308
2018/11/9,4363.21,4368.61,4396.39,4348.81,6742496000,45846347515
2018/11/12,4360.63,4481.69,4481.77,4354.47,8699053600,59949621268
2018/11/13,4430.95,4563.54,4588.5,4422.95,12871036300,84982054207
2018/11/14,4551.8,4545.51,4600.13,4534.52,11259883000,74023764776
2018/11/15,4540.88,4619.81,4619.81,4539.96,9830520000,69668883541
2018/11/16,4625,4659.1,4691.56,4609.83,11067182400,82381068855
2018/11/19,4660.48,4670.74,4677.97,4612.48,11101510600,82549163316
2018/11/20,4629.13,4537.45,4645.9,4535.87,10312422500,76300239207
2018/11/21,4483.38,4554.67,4564.53,4476.42,9015662700,65298600566
2018/11/22,4562.64,4551.33,4583.37,4528.24,7527499300,54157291828
2018/11/23,4542.11,4374.76,4547.51,4365.35,9207482800,64245132838
2018/11/26,4371.42,4367.46,4408.11,4347.75,6858469900,45641649803
2018/11/27,4393.29,4387.65,4416.36,4361.02,6235271000,43832226111
2018/11/28,4389.83,4441.86,4441.86,4333.06,7250793100,50581746734
2018/11/29,4462.79,4345.7,4473.31,4344.9,7710248100,52609677007
2018/11/30,4334.04,4376.65,4385,4291.81,6384878900,44026264210
2018/12/3,4483.66,4515.17,4536.83,4460.39,9626575200,72617444583
2018/12/4,4506.25,4536.21,4538.42,4492.06,7628021300,56315559771
2018/12/5,4456.2,4502.7,4532.28,4445.97,7427597300,55251925549
2018/12/6,4476.81,4411.09,4483.32,4405.84,6604759600,52051360375
2018/12/7,4419.61,4410.96,4432.33,4397.42,5175505400,41253201540
2018/12/10,4381.38,4359.31,4396.4,4350.23,5394034800,40103184692
2018/12/11,4373.03,4395.57,4398.06,4365.12,5043078100,37194242182
2018/12/12,4408.91,4393.32,4417.6,4381.32,4809361200,35826068754
2018/12/13,4405.09,4443.16,4471.26,4378.46,6361391000,47775555072
2018/12/14,4436,4337.1,4439.05,4331.38,6578654600,47335305358
2018/12/17,4322.59,4330.65,4341.2,4285.21,5150281500,38561891398
2018/12/18,4308.05,4307.27,4339.4,4266.45,5130347800,37327896872
2018/12/19,4311.28,4247.9,4315.11,4245.15,4626017400,33854346744
2018/12/20,4240.37,4259.76,4274.01,4225.13,4696785200,34730999574
2018/12/21,4246.43,4231.14,4260.29,4204.49,4711042500,35374801447
2018/12/24,4227.35,4274.72,4276.97,4215.02,4184194100,32706121620
2018/12/25,4233.54,4225.51,4244.95,4132.76,6038367300,43750314456
2018/12/26,4218.66,4208.41,4241.35,4194.31,4503293300,34328585011
2018/12/27,4263.33,4161.27,4272.81,4159.77,5421939300,40327766018
2018/12/28,4168.94,4168.04,4192.7,4138.93,4996418500,37350056815
2019/1/2,4176.11,4131.96,4179.72,4125.94,4749444900,35572462261
2019/1/3,4131.69,4112.81,4182.2,4110.53,5549124400,41103713166
2019/1/4,4075.62,4210.88,4210.88,4071.69,7344873700,52230681319
2019/1/7,4235.03,4288.32,4297.02,4223.46,8115345000,59231303976
2019/1/8,4278.28,4277.3,4289.63,4264.6,6955693700,49700132327
2019/1/9,4286.23,4288.77,4354.2,4280.66,8515359500,61510931891
2019/1/10,4289.56,4281.86,4319.49,4274.2,6891088900,49243142091
2019/1/11,4282.39,4314.88,4316.54,4267.29,6835508500,46599960152
2019/1/14,4317.52,4286.55,4325.95,4278.76,6767961400,44765955490
2019/1/15,4282.99,4347.36,4350.93,4271.64,7200518100,50608143347
2019/1/16,4347.08,4336.88,4364.1,4330.74,6927474400,50030063790
2019/1/17,4334.63,4303.73,4347.18,4297.67,7456211300,48421136078
2019/1/18,4307.14,4347.81,4351.44,4297.48,8337161100,55476936297
2019/1/21,4354.7,4373.63,4395.06,4352.81,7278153100,52937642778
2019/1/22,4370.86,4308.25,4370.86,4291.96,6949667200,47826602461
2019/1/23,4298.94,4315.68,4322.89,4292.09,5848573500,40571874370
2019/1/24,4318.71,4338.17,4363.22,4292.83,7063030500,51572057927
2019/1/25,4341.41,4318.44,4359.46,4315.95,7165747800,52504910506
2019/1/28,4341.49,4307.22,4370.9,4297.96,6727993500,49287478132
2019/1/29,4301.47,4254.29,4301.47,4188.59,7775372700,54223809273
2019/1/30,4235.27,4211.62,4266.88,4211.19,5851377000,42466758483
2019/1/31,4203.98,4176.47,4240.72,4151.41,7151120500,47694716159
2019/2/1,4189.11,4294.27,4295.04,4189.11,6609967700,47693471397
2019/2/11,4306.2,4402.87,4403.73,4306.2,7529735600,56743679262
2019/2/12,4398.44,4439.48,4452.5,4394.83,8527115600,61588925289
2019/2/13,4442.73,4512.41,4526.27,4433.03,11321890300,82940466826
2019/2/14,4507.84,4532.17,4555.23,4494.55,9482853300,70164059523
2019/2/15,4523.94,4502.73,4544.39,4497.39,9351160700,67254618818
2019/2/18,4527.97,4661,4661,4527.97,12412400400,92189941713
2019/2/19,4683.33,4667.28,4706.53,4614.28,14387476800,1.06E+11
2019/2/20,4667.35,4667.62,4677.98,4619.46,12021312900,87303394555
2019/2/21,4666.28,4659.14,4750.42,4643.11,14595111300,1.11E+11
2019/2/22,4651.54,4777.3,4777.3,4649.22,14616614200,1.12E+11
2019/2/25,4840.54,5044.35,5045.08,4835.48,24178357900,1.91E+11
2019/2/26,5059.28,5038.54,5149.62,5004.55,26283326500,1.96E+11
2019/2/27,5027.39,5017.88,5093.8,4964.62,20885408700,1.55E+11
2019/2/28,5017.44,5025.29,5072.67,4994.05,15604287700,1.17E+11
2019/3/1,5047.23,5067.23,5067.31,4984.99,14982833000,1.13E+11
2019/3/4,5112.95,5158.25,5253.39,5108.28,23244686400,1.84E+11
2019/3/5,5146.62,5295.29,5295.29,5125.15,20689126100,1.68E+11
2019/3/6,5328.13,5390.03,5395.55,5256.79,26496431800,2.10E+11
2019/3/7,5381.23,5458.62,5512.64,5353.57,26696722000,2.15E+11
2019/3/8,5340.11,5245.7,5480.17,5245.53,28568024900,2.30E+11
2019/3/11,5279.75,5456.38,5456.42,5272.19,21425221300,1.86E+11
2019/3/12,5500.94,5551,5591.69,5458.76,24933399300,2.16E+11
2019/3/13,5557.16,5424.86,5557.16,5388.25,22434923600,2.01E+11
2019/3/14,5381.11,5298.5,5432.52,5236.75,17860867900,1.54E+11
2019/3/15,5328.81,5359.01,5418.33,5308.06,15284646500,1.40E+11
2019/3/18,5387.38,5501.18,5501.18,5333.26,17265525500,1.54E+11
2019/3/19,5505.7,5522.18,5555.12,5486.8,16671393100,1.50E+11
2019/3/20,5518.31,5515.79,5533.05,5415.75,17682073500,1.54E+11
2019/3/21,5525.99,5589.48,5634.66,5513.39,20715004500,1.84E+11
2019/3/22,5591.04,5622.14,5625.1,5505.81,18195482300,1.69E+11
2019/3/25,5521.25,5549.67,5629.23,5507.36,17843293700,1.66E+11
2019/3/26,5571.53,5394.88,5589.41,5380.85,17616473000,1.61E+11
2019/3/27,5431.98,5447.88,5447.88,5333.78,14495660800,1.35E+11
2019/3/28,5432.94,5370.12,5487.77,5370.12,14926108200,1.41E+11
2019/3/29,5370.42,5547.66,5550.76,5346.21,17833301700,1.65E+11
2019/4/1,5591.67,5757.84,5763.58,5591.67,22118163100,2.08E+11
2019/4/2,5794.79,5775.55,5833.02,5750.33,22875028400,2.16E+11
2019/4/3,5744.22,5836.04,5843.47,5724.13,19910476300,1.82E+11
2019/4/4,5868.39,5871.56,5894.99,5813.46,20883485900,1.97E+11
2019/4/8,5921.21,5847.63,5939.5,5765.91,23831746600,2.23E+11
2019/4/9,5834.29,5858.05,5877.84,5798.37,17936350200,1.69E+11
2019/4/10,5826.03,5850.76,5906.43,5782.37,17875360700,1.73E+11
2019/4/11,5852.64,5727.17,5866.92,5720.55,16587607300,1.57E+11
2019/4/12,5720.05,5714.37,5749.34,5673.74,14007834100,1.26E+11
2019/4/15,5795.5,5655.98,5815.39,5654.34,15775413600,1.48E+11
2019/4/16,5625.12,5777.01,5777.01,5583.61,15602963200,1.47E+11
2019/4/17,5776.64,5807.73,5840.62,5758,16980015500,1.59E+11
2019/4/18,5804.3,5775.17,5826.67,5762.57,15132250500,1.41E+11
2019/4/19,5762.5,5810.18,5810.18,5710.8,14872428900,1.34E+11
2019/4/22,5821.02,5723.04,5824.52,5704.98,15816102600,1.43E+11
2019/4/23,5710.73,5628.06,5710.73,5610.74,14987146100,1.34E+11
2019/4/24,5636.4,5679.73,5682.48,5568.41,13478441200,1.22E+11
2019/4/25,5652.01,5458.42,5662.79,5457.83,15140171800,1.32E+11
2019/4/26,5427.62,5408.03,5496.04,5407.19,12427988000,1.09E+11
2019/4/29,5405.16,5265.6,5421.66,5252.05,13867238700,1.20E+11
2019/4/30,5244.04,5307.56,5349.94,5244.04,10219034000,90849649254
2019/5/6,5122.47,4908.8,5125.16,4874.64,14338623300,1.17E+11
2019/5/7,4933.04,4973.4,4990.19,4886.06,11657368700,97660954760
2019/5/8,4865.79,4947.74,5028.53,4842.56,10773812100,88503433406
2019/5/9,4897.98,4888.41,4955.78,4879.69,9093465600,75438861419
2019/5/10,4940.48,5064.32,5064.32,4842.61,12217748300,1.04E+11
2019/5/13,5009.47,5005.9,5040.5,4985.19,9173639400,81269399675
2019/5/14,4942.39,4965.61,5018.41,4941.93,8754096900,78269150192
2019/5/15,5002.61,5076.56,5086.73,4999.34,9746386000,88150026771
2019/5/16,5071.11,5108.36,5118.44,5059.21,10442216600,91206178691
2019/5/17,5112.24,4942.58,5116.99,4923.67,11907121300,1.04E+11
2019/5/20,4937.18,4923.56,4947.75,4835.81,9568649700,84271517275
2019/5/21,4917.34,5009.87,5026.28,4904.82,10083707300,91301255168
2019/5/22,5002.16,4976.39,5018.11,4941.01,9409270900,86507936443
2019/5/23,4955.25,4872.92,4957.99,4860.19,9056368100,82582767292
2019/5/24,4848.58,4841.76,4892.46,4831.34,7793343600,69305381771
2019/5/27,4848.64,4962.95,4974.27,4824.14,9307641400,81678357211
2019/5/28,4965.59,4955.49,5002.25,4933.9,9026398900,83641973469
2019/5/29,4943.57,4956.86,4992.99,4930.43,8587685200,78641296291
2019/5/30,4933.5,4926.4,4933.85,4865.78,9477960200,80822550059
2019/5/31,4923.92,4912,4969.05,4902.74,8671672900,75731116074
2019/6/3,4921.71,4853.82,4942.07,4838.35,9854083000,83580691984
2019/6/4,4847.66,4795.41,4853.81,4768.04,8675165300,77250794625
2019/6/5,4837.9,4783.82,4850.8,4777.98,8130016500,72772853683
2019/6/6,4776.49,4678.78,4776.69,4668.54,8341693100,70429637482
2019/6/10,4693.76,4725.26,4750.54,4662.78,7336138100,63265364509
2019/6/11,4730.81,4901.47,4903.87,4728.48,11681144600,99669915566
2019/6/12,4889.36,4863.49,4917.09,4852.98,10784756100,94685225285
2019/6/13,4855.54,4877.65,4892.58,4831.52,9617253800,79697102665
2019/6/14,4880.23,4795.53,4893.93,4786.19,10280389400,83140662638
2019/6/17,4796.12,4802.82,4826.6,4779.64,7336113800,64090002526
2019/6/18,4804.3,4797.15,4825.63,4773.55,6652389700,56694905767
2019/6/19,4902.96,4858.92,4931.11,4856.9,9827437600,88246816061
2019/6/20,4853.21,4954.73,4987.6,4837.18,11969596100,1.03E+11
2019/6/21,4973.59,5021.31,5045.71,4973.59,12281421400,1.07E+11
2019/6/24,5032.37,5024.2,5038.48,4996.17,9962015700,86442218789
2019/6/25,5020.2,4974.99,5020.2,4910.2,9920218000,85713850537
2019/6/26,4943.78,4962.59,4991.13,4928.73,7003568700,64206718431
2019/6/27,4974.99,5007.48,5030.37,4972.67,8163126600,77117707879
2019/6/28,5005.19,4950.48,5005.19,4920.43,7716462800,70271421892
2019/7/1,5044.66,5100.26,5100.26,5016.24,11163021400,1.08E+11
2019/7/2,5092.84,5084.41,5102.41,5066.25,9708063700,91618108605
2019/7/3,5074.71,5040.72,5074.71,5021.9,8535858900,79210212964
2019/7/4,5046.88,5025.02,5068,5002.33,8014718900,72016475806
2019/7/5,5026.33,5042.66,5055.01,5001.52,6490414100,60552010317
2019/7/8,5028.63,4870.78,5028.63,4855.21,9176607700,81431278978
2019/7/9,4868.48,4881.62,4892.56,4838.94,6101251200,56755420859
2019/7/10,4891.91,4843.86,4896.04,4829.28,6079519200,55261260669
2019/7/11,4867.68,4844.55,4905.16,4821.55,6262848400,56483156357
2019/7/12,4848.22,4861.57,4874.32,4820.66,6147939800,54064544425
2019/7/15,4850.89,4925.32,4951.62,4787.91,8459448100,75865112765
2019/7/16,4917.79,4932.05,4940.23,4909.66,6892496200,60958972155
2019/7/17,4930.65,4929.09,4953.41,4914.49,7536108800,65860765216
2019/7/18,4909.72,4844.11,4909.72,4843.51,7263615800,59848894329
2019/7/19,4861.21,4878.69,4920.41,4861.2,6859729800,57390762231
2019/7/22,4885.43,4776.57,4886.4,4766.07,7219157800,61198813615
2019/7/23,4778.05,4823.92,4823.92,4778.05,5472926300,48300963630
2019/7/24,4837.77,4873.03,4898.81,4837.77,6945138300,63586100131
2019/7/25,4873.17,4891.64,4899.72,4861.77,6738441800,65540811956
2019/7/26,4880.72,4898.11,4902.09,4868.2,5925277700,57190685291
2019/7/29,4897.65,4897.02,4914.48,4872.55,5658152100,54815760177
2019/7/30,4902.84,4922.92,4961.02,4902.78,7119412700,65553974536
2019/7/31,4914.04,4903.2,4921.72,4892.56,6275454700,58776188915
2019/8/1,4877.56,4870.47,4900.09,4850.53,6433250400,61801931692
2019/8/2,4773.43,4809.92,4816.81,4756.4,7900236100,73848047875
2019/8/5,4795.91,4751.98,4838.76,4749.94,7161254200,69025913447
