Date,open,close,high,low,volume,money
2020/7/20,4597.2,4680.3,4681.94,4534.23,24606891400,4.17E+11
2020/7/21,4697.5,4691.04,4714.29,4661.44,20041565900,3.56E+11
2020/7/22,4682.66,4714.45,4790.45,4675.35,22419921100,3.86E+11
2020/7/23,4668.74,4712.44,4731.4,4607.66,23431456900,4.05E+11
2020/7/24,4679.03,4505.59,4691.7,4479.39,24390520300,4.38E+11
2020/7/27,4535.01,4528.45,4558.12,4482.44,17142055100,3.02E+11
2020/7/28,4567.67,4568.26,4590.25,4537.68,16276849800,2.93E+11
2020/7/29,4559.16,4679.01,4680.56,4548.85,18669530500,3.50E+11
2020/7/30,4689.76,4656.15,4704.63,4649.77,16696756600,3.24E+11
2020/7/31,4652.18,4695.05,4741.81,4621.96,18483902600,3.51E+11
2020/8/3,4735.9,4771.31,4771.37,4720.02,21477623900,4.02E+11
2020/8/4,4778.49,4775.8,4807.08,4747.77,23997498500,4.26E+11
2020/8/5,4761.76,4777.11,4786.7,4711.27,19670054800,3.47E+11
2020/8/6,4779.24,4762.76,4791.86,4691.16,22785440600,4.04E+11
2020/8/7,4742.29,4707.93,4749.02,4637.84,21351821600,3.97E+11
2020/8/10,4681.76,4724.87,4757.66,4646.29,20378883200,3.71E+11
2020/8/11,4730.37,4681.78,4791.53,4674.86,20554651100,3.51E+11
2020/8/12,4668.89,4647.64,4681.62,4566.27,20288723900,3.47E+11
2020/8/13,4666.49,4635.71,4671.77,4626.1,15255009200,2.51E+11
2020/8/14,4627.61,4704.63,4708.07,4617.63,14729292100,2.54E+11
2020/8/17,4727.12,4815.23,4838.09,4721.36,26800155600,4.16E+11
2020/8/18,4816.57,4812.76,4825.39,4788.83,18913985400,3.14E+11
2020/8/19,4804.67,4740.68,4809.05,4738.01,19244294800,3.19E+11
2020/8/20,4708.13,4679.15,4721.44,4662.8,15836863900,2.60E+11
2020/8/21,4717.79,4718.84,4739.48,4684.81,14265786400,2.52E+11
2020/8/24,4746.4,4755.85,4769.47,4716.61,15114351200,2.72E+11
2020/8/25,4769.21,4761.95,4802.41,4746.31,14170135100,2.62E+11
2020/8/26,4761.72,4706.13,4786.42,4689.88,15130518000,2.77E+11
2020/8/27,4718.06,4731.35,4731.94,4679.36,11904285000,2.24E+11
2020/8/28,4727.29,4844.27,4850.49,4719.35,15939976500,3.05E+11
2020/8/31,4870.93,4816.22,4901.21,4816.21,20256702900,3.57E+11
2020/9/1,4803.39,4842.12,4842.14,4791.78,13839540200,2.62E+11
2020/9/2,4859.08,4843.89,4863.55,4797.52,15798952400,2.81E+11
2020/9/3,4841.5,4817.1,4877.01,4800.06,14567120100,2.79E+11
2020/9/4,4737.24,4770.22,4778.2,4726.56,12003279600,2.38E+11
2020/9/7,4759.52,4669.37,4789.3,4655.56,14860779100,2.82E+11
2020/9/8,4683.83,4694.39,4707.9,4639.05,13919922700,2.49E+11
2020/9/9,4634.25,4584.59,4645.2,4558.03,16227710700,2.45E+11
2020/9/10,4632.1,4581.98,4647.75,4572.21,15065287800,2.26E+11
2020/9/11,4572.26,4627.28,4630.88,4563.11,11530242400,1.98E+11
2020/9/14,4652.05,4651.05,4666.99,4625.99,10723517900,2.12E+11
2020/9/15,4649.45,4688.48,4691.5,4630.54,10191592500,1.95E+11
2020/9/16,4683.01,4657.36,4690.68,4638.46,10875364100,1.96E+11
2020/9/17,4642.05,4632.71,4664.95,4601.64,10598363100,2.14E+11
2020/9/18,4636.64,4737.09,4737.8,4631.7,16042647500,2.82E+11
2020/9/21,4750.75,4691.43,4752.98,4688.72,12453582700,2.24E+11
2020/9/22,4654.22,4635.76,4706.21,4622.11,11967294700,2.03E+11
2020/9/23,4639.66,4652.33,4665.96,4623.55,9582652800,1.90E+11
2020/9/24,4623.95,4563.07,4631.95,4562.21,11259368300,1.94E+11
2020/9/25,4582.48,4570.02,4599.54,4554.72,9301515500,1.67E+11
2020/9/28,4582.65,4581.91,4613.63,4571.15,8504838900,1.59E+11
2020/9/29,4608.29,4591.8,4616.68,4586.35,8599385800,1.60E+11
2020/9/30,4607.58,4587.4,4634.72,4563.41,8908120000,1.66E+11
2020/10/9,4663.61,4681.14,4695.4,4655.09,11133751200,2.30E+11
2020/10/12,4705.19,4823.16,4823.27,4704.16,15578455800,3.08E+11
2020/10/13,4812.9,4839.2,4845.92,4795.37,11651633800,2.42E+11
2020/10/14,4830.46,4807.1,4830.46,4795.91,11190692300,2.30E+11
2020/10/15,4810.78,4798.74,4833.89,4796.26,10996496200,2.14E+11
2020/10/16,4798.92,4791.68,4825.55,4765.97,11671610200,2.04E+11
2020/10/19,4823.49,4755.49,4849.6,4747.34,12924636100,2.25E+11
2020/10/20,4751.37,4793.47,4793.47,4739.46,9804815600,1.86E+11
2020/10/21,4801.63,4792.83,4801.63,4758.86,10380570300,1.90E+11
2020/10/22,4780.6,4777.98,4791.81,4725.5,10135089100,1.95E+11
2020/10/23,4775.47,4718.49,4802.46,4717.1,10682518400,2.01E+11
2020/10/26,4684.05,4691.24,4713.39,4639.3,10834327500,2.06E+11
2020/10/27,4680.14,4699.28,4708.46,4671.85,9265630400,1.87E+11
2020/10/28,4703,4737.27,4753.31,4685.6,10846340200,2.27E+11
2020/10/29,4683.61,4772.92,4803.03,4679.25,11711725000,2.52E+11
2020/10/30,4776.47,4695.33,4778.51,4683.47,13980230300,2.81E+11
2020/11/2,4702.75,4720.83,4738.02,4695.44,14286769300,2.79E+11
2020/11/3,4743.17,4777.56,4793.4,4734.17,13605540800,2.52E+11
2020/11/4,4781.45,4813.66,4825.46,4770.56,11466180600,2.31E+11
2020/11/5,4861.34,4885.11,4885.11,4838,13924459400,2.82E+11
2020/11/6,4897.63,4885.72,4897.63,4845.43,15363903400,3.05E+11
2020/11/9,4918.86,4981.35,4997.8,4918.86,19713198400,3.72E+11
2020/11/10,4995.41,4953.88,4995.41,4928.93,17626721400,3.34E+11
2020/11/11,4937.76,4904.9,4957.58,4901.71,16447051500,3.04E+11
2020/11/12,4916.77,4908.46,4926.34,4891.51,11811461900,2.28E+11
2020/11/13,4886.98,4856.85,4886.98,4825.76,13369307900,2.55E+11
2020/11/16,4880.96,4904.17,4904.17,4848.62,14877098000,2.67E+11
2020/11/17,4903.12,4894.79,4909.29,4865.39,15148746400,2.89E+11
2020/11/18,4889.67,4891.67,4911.09,4870.72,16421661600,2.91E+11
2020/11/19,4880.92,4927.99,4939.79,4870.2,13368137800,2.48E+11
2020/11/20,4928.22,4943.29,4947.43,4922.59,12940034100,2.29E+11
2020/11/23,4954.6,5005.03,5029.65,4940.45,20591518700,3.34E+11
2020/11/24,4997.05,4974.29,5001.06,4960.98,15663791100,2.65E+11
2020/11/25,4992.75,4910.7,5004.77,4910.7,17034052700,2.77E+11
2020/11/26,4908.32,4919.59,4925.29,4867.82,13720233800,2.40E+11
2020/11/27,4930.59,4980.77,4980.77,4917.35,16295292200,2.53E+11
